"mmsi","basedatetime","lat","lon","sog","cog","heading","vesselname","imo","callsign","vesseltype","status","length","width","draft","cargo","transceiverclass"
11,"2020-01-02 21:29:35",27.29226,-90.96776,0.1,300.1,511,\N,\N,\N,\N,5,\N,\N,\N,\N,"A"
12,"2020-01-06 16:13:28",29.55978,-90.1351,0,282.2,511,"CLETUS","IMO0000000",\N,37,\N,20,6,\N,\N,"B"
12,"2020-01-10 14:21:38",29.54246,-90.12946,0.2,86.2,511,"CLETUS","IMO0000000",\N,37,\N,20,6,\N,\N,"B"
9,"2020-01-18 08:28:39",47.55103,-122.63712,0.9,69,511,\N,\N,\N,\N,15,\N,\N,\N,\N,"A"
12,"2020-01-16 09:59:18",29.5431,-90.12981,0.2,8.8,511,"CLETUS","IMO0000000",\N,37,\N,20,6,\N,\N,"B"
12,"2020-01-12 14:05:18",29.54213,-90.12947,0.2,109.4,511,"CLETUS","IMO0000000",\N,37,\N,20,6,\N,\N,"B"
11,"2020-01-12 14:05:53",27.29234,-90.96779,0.1,321.8,511,\N,\N,\N,\N,5,\N,\N,\N,\N,"A"
12,"2020-01-06 16:16:28",29.5598,-90.13507,0,295.7,511,"CLETUS","IMO0000000",\N,37,\N,20,6,\N,\N,"B"
11,"2020-01-02 21:35:34",27.29238,-90.96785,0.3,255.8,511,\N,\N,\N,\N,5,\N,\N,\N,\N,"A"
9,"2020-01-18 08:30:00",47.55118,-122.63665,0.9,65.1,511,\N,\N,\N,\N,15,\N,\N,\N,\N,"A"
0,"2020-01-22 10:30:21",48.651,-123.44715,0,219,346,"PENELOPE ROSE","IMO0000101","PENEOPE",30,15,21,6,0.8,0,"A"
12,"2020-01-10 14:24:37",29.54249,-90.12957,0.2,296.5,511,"CLETUS","IMO0000000",\N,37,\N,20,6,\N,\N,"B"
12,"2020-01-14 12:26:20",29.54113,-90.12955,0.2,267.3,511,"CLETUS","IMO0000000",\N,37,\N,20,6,\N,\N,"B"
0,"2020-01-22 10:31:30",48.650978,-123.44711,0,315.6,511,"PENELOPE ROSE","IMO0000101","PENEOPE",30,15,21,6,0.8,0,"A"
8,"2020-01-26 06:26:31",47.54894,-122.64474,0.4,5.5,511,\N,\N,\N,\N,0,\N,\N,\N,\N,"A"
11,"2020-01-12 14:08:52",27.29235,-90.9679,0.1,14.7,511,\N,\N,\N,\N,5,\N,\N,\N,\N,"A"
11,"2020-01-08 15:36:06",27.29227,-90.96791,0,121.7,511,\N,\N,\N,\N,5,\N,\N,\N,\N,"A"
0,"2020-01-30 00:43:02",18.45953,-66.09009,0,141.6,267,"PENELOPE ROSE","IMO0000101","PENEOPE",30,5,21,6,0.8,0,"A"
12,"2020-01-06 16:19:28",29.55979,-90.13506,0,312.9,511,"CLETUS","IMO0000000",\N,37,\N,20,6,\N,\N,"B"
8,"2020-01-28 03:38:33",47.54949,-122.64971,7.2,0.5,511,\N,\N,\N,\N,0,\N,\N,\N,\N,"A"
0,"2020-01-22 10:32:41",48.65101,-123.44716,0,168.9,511,"PENELOPE ROSE","IMO0000101","PENEOPE",30,15,21,6,0.8,0,"A"
0,"2020-01-22 10:33:51",48.651,-123.44715,0,313.7,351,"PENELOPE ROSE","IMO0000101","PENEOPE",30,15,21,6,0.8,0,"A"
12,"2020-01-14 12:29:20",29.54114,-90.12951,0.1,92.6,511,"CLETUS","IMO0000000",\N,37,\N,20,6,\N,\N,"B"
9,"2020-01-18 08:33:10",47.55153,-122.63567,0.8,57.2,511,\N,\N,\N,\N,15,\N,\N,\N,\N,"A"
9,"2020-01-18 08:34:30",47.55169,-122.63529,0.8,57.3,511,\N,\N,\N,\N,15,\N,\N,\N,\N,"A"
8,"2020-01-28 03:39:41",47.54975,-122.6492,0.6,150.4,511,\N,\N,\N,\N,0,\N,\N,\N,\N,"A"
11,"2020-01-01 01:02:21",27.29223,-90.96779,0,234.4,511,\N,\N,\N,\N,5,\N,\N,\N,\N,"A"
11,"2020-01-06 16:20:57",27.29224,-90.96783,0,339.2,511,\N,\N,\N,\N,5,\N,\N,\N,\N,"A"
8,"2020-01-26 06:29:10",47.54917,-122.64465,0.2,20,511,\N,\N,\N,\N,0,\N,\N,\N,\N,"A"
8,"2020-01-26 06:30:40",47.54924,-122.64457,0.1,48.5,511,\N,\N,\N,\N,0,\N,\N,\N,\N,"A"
0,"2020-01-30 00:46:01",18.4595,-66.09017,0,4,267,"PENELOPE ROSE","IMO0000101","PENEOPE",30,5,21,6,0.8,0,"A"
12,"2020-01-12 14:14:21",29.54212,-90.12947,0.2,104.5,511,"CLETUS","IMO0000000",\N,37,\N,20,6,\N,\N,"B"
8,"2020-01-28 03:40:53",47.54951,-122.64917,0.6,181.3,511,\N,\N,\N,\N,0,\N,\N,\N,\N,"A"
11,"2020-01-28 03:40:54",27.29225,-90.96777,0.1,348.5,511,\N,\N,\N,\N,5,\N,\N,\N,\N,"A"
8,"2020-01-28 03:42:02",47.54928,-122.64919,0.6,185.6,511,\N,\N,\N,\N,0,\N,\N,\N,\N,"A"
0,"2020-01-22 10:35:00",48.65101,-123.44715,0,157.3,511,"PENELOPE ROSE","IMO0000101","PENEOPE",30,15,21,6,0.8,0,"A"
9,"2020-01-18 08:36:10",47.55185,-122.63485,0.6,58.1,511,\N,\N,\N,\N,15,\N,\N,\N,\N,"A"
8,"2020-01-26 06:32:10",47.54924,-122.64445,0.1,94.1,511,\N,\N,\N,\N,0,\N,\N,\N,\N,"A"
9,"2020-01-18 08:37:49",47.55203,-122.63442,0.7,58.9,511,\N,\N,\N,\N,15,\N,\N,\N,\N,"A"
12,"2020-01-10 14:27:37",29.54248,-90.12951,0.2,217.7,511,"CLETUS","IMO0000000",\N,37,\N,20,6,\N,\N,"B"
9,"2020-01-18 08:39:20",47.5522,-122.63401,0.7,57.8,511,\N,\N,\N,\N,15,\N,\N,\N,\N,"A"
9,"2020-01-18 08:40:29",47.55229,-122.63371,0.7,59.2,511,\N,\N,\N,\N,15,\N,\N,\N,\N,"A"
11,"2020-01-02 21:47:27",27.2923,-90.96775,0.2,313.5,511,\N,\N,\N,\N,5,\N,\N,\N,\N,"A"
0,"2020-01-22 10:36:10",48.650978,-123.44718,0,209.1,511,"PENELOPE ROSE","IMO0000101","PENEOPE",30,15,21,6,0.8,0,"A"
0,"2020-01-22 10:37:11",48.65087,-123.44726,0.2,190.3,511,"PENELOPE ROSE","IMO0000101","PENEOPE",30,15,21,6,0.8,0,"A"
9,"2020-01-18 08:42:20",47.55247,-122.6333,0.6,60.1,511,\N,\N,\N,\N,15,\N,\N,\N,\N,"A"
12,"2020-01-16 10:11:20",29.54306,-90.12984,0.1,354.5,511,"CLETUS","IMO0000000",\N,37,\N,20,6,\N,\N,"B"
8,"2020-01-26 06:33:30",47.54924,-122.64439,0,104.3,511,\N,\N,\N,\N,0,\N,\N,\N,\N,"A"
8,"2020-01-28 03:43:12",47.54907,-122.64922,0.6,187.7,511,\N,\N,\N,\N,0,\N,\N,\N,\N,"A"
0,"2020-01-30 00:49:01",18.4595,-66.09017,0,2,267,"PENELOPE ROSE","IMO0000101","PENEOPE",30,5,21,6,0.8,0,"A"
8,"2020-01-26 06:35:30",47.54924,-122.64432,0.2,138.8,511,\N,\N,\N,\N,0,\N,\N,\N,\N,"A"
0,"2020-01-22 10:38:30",48.651,-123.44718,0,307.3,511,"PENELOPE ROSE","IMO0000101","PENEOPE",30,15,21,6,0.8,0,"A"
11,"2020-01-24 11:47:29",27.29224,-90.96775,0.1,306.8,511,\N,\N,\N,\N,5,\N,\N,\N,\N,"A"
0,"2020-01-22 10:40:00",48.65099,-123.44717,0,219.2,511,"PENELOPE ROSE","IMO0000101","PENEOPE",30,15,21,6,0.8,0,"A"
11,"2020-01-12 14:20:52",27.29229,-90.96792,0.3,6.6,511,\N,\N,\N,\N,5,\N,\N,\N,\N,"A"
12,"2020-01-14 12:41:20",29.54114,-90.12952,0.2,205,511,"CLETUS","IMO0000000",\N,37,\N,20,6,\N,\N,"B"
11,"2020-01-28 03:43:52",27.29228,-90.96802,0.1,334.6,511,\N,\N,\N,\N,5,\N,\N,\N,\N,"A"
8,"2020-01-28 03:44:22",47.54886,-122.64925,0.6,191.4,511,\N,\N,\N,\N,0,\N,\N,\N,\N,"A"
1,"2020-01-18 08:45:41",39.75668,-80.85937,0,130.8,511,"SHOP TEST",\N,"0000001",20,\N,0,0,2,90,"B"
9,"2020-01-18 08:46:20",47.55269,-122.6325,0.4,64.8,511,\N,\N,\N,\N,15,\N,\N,\N,\N,"A"
8,"2020-01-26 06:37:01",47.54908,-122.64421,0.6,150.3,511,\N,\N,\N,\N,0,\N,\N,\N,\N,"A"
11,"2020-01-02 21:50:34",27.29231,-90.96788,0.1,344,511,\N,\N,\N,\N,5,\N,\N,\N,\N,"A"
12,"2020-01-16 10:14:19",29.54305,-90.12985,0.1,218.5,511,"CLETUS","IMO0000000",\N,37,\N,20,6,\N,\N,"B"
8,"2020-01-28 03:45:23",47.5487,-122.64929,0.5,184.3,511,\N,\N,\N,\N,0,\N,\N,\N,\N,"A"
0,"2020-01-22 10:41:11",48.650978,-123.44716,0,147.7,511,"PENELOPE ROSE","IMO0000101","PENEOPE",30,15,21,6,0.8,0,"A"
8,"2020-01-26 06:38:41",47.5488,-122.64399,0.5,167.5,511,\N,\N,\N,\N,0,\N,\N,\N,\N,"A"
8,"2020-01-26 06:40:01",47.54857,-122.64405,0.8,202.5,511,\N,\N,\N,\N,0,\N,\N,\N,\N,"A"
12,"2020-01-06 16:31:27",29.5598,-90.13507,0,310.1,511,"CLETUS","IMO0000000",\N,37,\N,20,6,\N,\N,"B"
12,"2020-01-12 14:23:18",29.54212,-90.1295,0.2,116.4,511,"CLETUS","IMO0000000",\N,37,\N,20,6,\N,\N,"B"
9,"2020-01-18 08:51:00",47.55278,-122.63168,0.4,88.2,511,\N,\N,\N,\N,15,\N,\N,\N,\N,"A"
8,"2020-01-28 03:46:33",47.54853,-122.64926,0.5,173.2,511,\N,\N,\N,\N,0,\N,\N,\N,\N,"A"
8,"2020-01-28 03:47:51",47.54835,-122.64918,0.4,158.5,511,\N,\N,\N,\N,0,\N,\N,\N,\N,"A"
12,"2020-01-06 16:34:26",29.5598,-90.13507,0,299.3,511,"CLETUS","IMO0000000",\N,37,\N,20,6,\N,\N,"B"
12,"2020-01-10 14:42:43",29.54248,-90.12955,0,147.8,511,"CLETUS","IMO0000000",\N,37,\N,20,6,\N,\N,"B"
0,"2020-01-22 10:42:30",48.650978,-123.44715,0,174.7,511,"PENELOPE ROSE","IMO0000101","PENEOPE",30,15,21,6,0.8,0,"A"
11,"2020-01-01 04:29:24",27.29229,-90.96787,0,336.5,511,\N,\N,\N,\N,5,\N,\N,\N,\N,"A"
8,"2020-01-26 06:42:30",47.54842,-122.64381,0.2,81.3,511,\N,\N,\N,\N,0,\N,\N,\N,\N,"A"
8,"2020-01-26 06:43:41",47.5485,-122.64378,0.3,5.4,511,\N,\N,\N,\N,0,\N,\N,\N,\N,"A"
0,"2020-01-22 10:43:51",48.650978,-123.44716,0,40.6,511,"PENELOPE ROSE","IMO0000101","PENEOPE",30,15,21,6,0.8,0,"A"
